SCHOOLYEAR,SCHOOLCODE,COUNTY,PUB-PRIV,PUBLICSCHOOLDISTRICT,CITY,SCHOOLNAME,ENROLLMENT,REPORTED,CATEGORY,COUNT,PERCENT,ANNOTATION
2016-2017,6964134,LOS ANGELES,PRIVATE,,LOS ANGELES,ST. LAWRENCE OF BRINDISI ELEMENTARY,35,Y,UP-TO-DATE,28,80,
2016-2017,6976104,PLACER,PRIVATE,,AUBURN,ST. JOSEPH CATHOLIC SCHOOL,20,Y,OVERDUE,16,80,
2016-2017,6981773,SAN FRANCISCO,PRIVATE,,SAN FRANCISCO,ST. JAMES SCHOOL,25,Y,UP-TO-DATE,20,80,
2016-2017,108605,NAPA,PUBLIC,NAPA VALLEY UNIFIED,NAPA,STONE BRIDGE,26,Y,UP-TO-DATE,21,81,
2016-2017,110833,RIVERSIDE,PUBLIC,RIVERSIDE COUNTY OFFICE OF EDUCATION,TEMECULA,RIVER SPRINGS CHARTER,530,Y,UP-TO-DATE,430,81,
2016-2017,6025167,MENDOCINO,PUBLIC,MENDOCINO UNIFIED,MENDOCINO,MENDOCINO K-8,31,Y,UP-TO-DATE,25,81,
2016-2017,6040752,SAN FRANCISCO,PUBLIC,SAN FRANCISCO UNIFIED,SAN FRANCISCO,CARMICHAEL (BESSIE)/FEC,64,Y,UP-TO-DATE,52,81,
2016-2017,6988018,SANTA CRUZ,PRIVATE,,SANTA CRUZ,GATEWAY SCHOOL,21,Y,UP-TO-DATE,17,81,
2016-2017,107938,MADERA,PUBLIC,MADERA UNIFIED,MADERA,EZEQUIEL TAFOYA ALVARADO ACADEMY,53,Y,UP-TO-DATE,44,83,
2016-2017,121624,PLACER,PUBLIC,TAHOE-TRUCKEE UNIFIED,TRUCKEE,SIERRA EXPEDITIONARY LEARNING,24,Y,UP-TO-DATE,20,83,
2016-2017,134122,SHASTA,PUBLIC,COLUMBIA ELEMENTARY,REDDING,REDDING SCHOOL OF THE ARTS,40,Y,UP-TO-DATE,33,83,
2016-2017,6008247,HUMBOLDT,PUBLIC,TRINIDAD UNION ELEMENTARY,TRINIDAD,TRINIDAD UNION,24,Y,UP-TO-DATE,20,83,
2016-2017,6059885,SAN FRANCISCO,PUBLIC,SAN FRANCISCO UNIFIED,SAN FRANCISCO,KING JR. (MARTIN LUTHER) ACADEMIC MIDDLE,168,Y,UP-TO-DATE,140,83,
2016-2017,6960918,LOS ANGELES,PRIVATE,,LOS ANGELES,CATHEDRAL CHAPEL ELEMENTARY,24,Y,UP-TO-DATE,20,83,
2016-2017,6993166,SAN DIEGO,PRIVATE,,LA JOLLA,THE CHILDREN'S SCHOOL,24,Y,UP-TO-DATE,20,83,
2016-2017,108415,SACRAMENTO,PUBLIC,TWIN RIVERS UNIFIED,RIO LINDA,HERITAGE PEAK CHARTER,85,Y,UP-TO-DATE,71,84,
2016-2017,121756,VENTURA,PUBLIC,VENTURA COUNTY OFFICE OF EDUCATION,THOUSAND OAKS,BRIDGES CHARTER,37,Y,UP-TO-DATE,31,84,
2016-2017,6025308,MENDOCINO,PUBLIC,LAYTONVILLE UNIFIED,LAYTONVILLE,LAYTONVILLE ELEMENTARY,32,Y,UP-TO-DATE,27,84,
2016-2017,6062046,SAN FRANCISCO,PUBLIC,SAN FRANCISCO UNIFIED,SAN FRANCISCO,BUENA VISTA/ HORACE MANN K-8,63,Y,UP-TO-DATE,53,84,
2016-2017,6964357,LOS ANGELES,PRIVATE,,NORTH HOLLYWOOD,"WESLEY SCHOOL, THE",38,Y,UP-TO-DATE,32,84,
2016-2017,7078421,SANTA CLARA,PRIVATE,,SUNNYVALE,THE KING'S ACADEMY,134,Y,UP-TO-DATE,113,84,
2016-2017,7092208,CONTRA COSTA,PRIVATE,,CONCORD,CEDAR LIFE ACADEMY,31,Y,UP-TO-DATE,26,84,
2016-2017,111674,SHASTA,PUBLIC,SHASTA COUNTY OFFICE OF EDUCATION,PALO CEDRO,CHRYSALIS CHARTER,20,Y,UP-TO-DATE,17,85,
2016-2017,118083,SAN DIEGO,PUBLIC,SAN DIEGO UNIFIED,SAN DIEGO,INNOVATIONS ACADEMY,48,Y,UP-TO-DATE,41,85,
2016-2017,129890,SAN JOAQUIN,PUBLIC,NEW JERUSALEM ELEMENTARY,TRACY,DELTA HOME CHARTER,20,Y,UP-TO-DATE,17,85,
2016-2017,130930,CONTRA COSTA,PUBLIC,BYRON UNION ELEMENTARY,BYRON,VISTA OAKS CHARTER,48,Y,UP-TO-DATE,41,85,
2016-2017,131656,SANTA CLARA,PUBLIC,SAN JOSE UNIFIED,SAN JOSE,ACE INSPIRE ACADEMY,66,Y,UP-TO-DATE,56,85,
2016-2017,131789,SAN JOAQUIN,PUBLIC,BANTA ELEMENTARY,LATHROP,NEXTGENERATION STEAM ACADEMY,20,Y,UP-TO-DATE,17,85,
2016-2017,3230083,PLUMAS,PUBLIC,PLUMAS UNIFIED,QUINCY,PLUMAS CHARTER,27,Y,UP-TO-DATE,23,85,
2016-2017,6002091,ALAMEDA,PUBLIC,OAKLAND UNIFIED,OAKLAND,PARKER ELEMENTARY,27,Y,UP-TO-DATE,23,85,
2016-2017,6069272,IMPERIAL,PUBLIC,IMPERIAL COUNTY OFFICE OF EDUCATION,EL CENTRO,IMPERIAL COUNTY SPECIAL EDUCATION,20,Y,UP-TO-DATE,17,85,
2016-2017,6117303,SAN DIEGO,PUBLIC,JAMUL-DULZURA UNION ELEMENTARY,JAMUL,GREATER SAN DIEGO ACADEMY,20,Y,UP-TO-DATE,17,85,
2016-2017,6912216,NAPA,PRIVATE,,NAPA,KOLBE ACADEMY,27,Y,OTHERS,23,85,
